# id, role_id, permission, created_at
'408', '1', 'reset_password', '2025-09-04 20:38:56'
'469', '1', 'view_all_data', '2025-09-04 20:38:56'
'470', '1', 'edit_academic_year', '2025-09-04 20:38:56'
'471', '1', 'create_department', '2025-09-04 20:38:56'
'472', '4', 'change_own_password', '2025-09-04 20:38:56'
'473', '6', 'export_teachers', '2025-09-04 20:38:56'
'474', '3', 'import_students', '2025-09-04 20:38:56'
'475', '1', 'edit_all_data', '2025-09-04 20:38:56'
'476', '1', 'view_student', '2025-09-04 20:38:56'
'477', '5', 'delete_student', '2025-09-04 20:38:56'
'478', '1', 'view_subject_data', '2025-09-04 20:38:56'
'479', '1', 'delete_user', '2025-09-04 20:38:56'
'480', '2', 'create_class', '2025-09-04 20:38:56'
'481', '1', 'create_term', '2025-09-04 20:38:56'
'482', '1', 'view_login_logs', '2025-09-04 20:38:56'
'483', '4', 'view_own_profile', '2025-09-04 20:38:56'
'484', '2', 'edit_class', '2025-09-04 20:38:56'
'485', '3', 'view_student', '2025-09-04 20:38:56'
'486', '1', 'export_teachers', '2025-09-04 20:38:56'
'487', '1', 'delete_teacher', '2025-09-04 20:38:56'
'488', '6', 'edit_class', '2025-09-04 20:38:56'
'489', '6', 'view_student_progress', '2025-09-04 20:38:56'
'490', '1', 'delete_academic_year', '2025-09-04 20:38:56'
'491', '1', 'view_own_profile', '2025-09-04 20:38:56'
'492', '2', 'view_class', '2025-09-04 20:38:56'
'493', '5', 'manage_student_parents', '2025-09-04 20:38:56'
'494', '5', 'export_financial_data', '2025-09-04 20:38:56'
'495', '2', 'delete_class', '2025-09-04 20:38:56'
'496', '6', 'edit_subject_data', '2025-09-04 20:38:56'
'497', '6', 'view_class', '2025-09-04 20:38:56'
'498', '1', 'create_user', '2025-09-04 20:38:56'
'499', '1', 'create_class', '2025-09-04 20:38:56'
'500', '5', 'create_student', '2025-09-04 20:38:56'
'501', '2', 'delete_student', '2025-09-04 20:38:56'
'502', '4', 'view_class', '2025-09-04 20:38:56'
'503', '5', 'view_financial_data', '2025-09-04 20:38:56'
'504', '1', 'view_student_progress', '2025-09-04 20:38:56'
'505', '1', 'edit_class', '2025-09-04 20:38:56'
'506', '4', 'view_teacher', '2025-09-04 20:38:56'
'507', '1', 'edit_term', '2025-09-04 20:38:56'
'508', '6', 'import_students', '2025-09-04 20:38:56'
'509', '6', 'delete_student', '2025-09-04 20:38:56'
'510', '5', 'generate_financial_reports', '2025-09-04 20:38:56'
'511', '6', 'export_subject_data', '2025-09-04 20:38:56'
'512', '1', 'backup_database', '2025-09-04 20:38:56'
'513', '1', 'import_teachers', '2025-09-04 20:38:56'
'514', '1', 'view_audit_logs', '2025-09-04 20:38:56'
'515', '1', 'delete_login_logs', '2025-09-04 20:38:56'
'516', '1', 'view_class', '2025-09-04 20:38:56'
'517', '1', 'create_parent', '2025-09-05 07:37:57'
'518', '1', 'edit_parent', '2025-09-05 07:37:57'
'519', '1', 'delete_parent', '2025-09-05 07:37:57'
'520', '1', 'view_parent', '2025-09-05 07:37:57'
'521', '6', 'view_parent', '2025-09-05 07:39:15'
'523', '1', 'create_school', '2025-09-05 20:47:27'
'524', '1', 'edit_school', '2025-09-05 20:47:27'
'525', '1', 'delete_school', '2025-09-05 20:47:27'
'526', '2', 'create_school', '2025-09-05 20:47:27'
'527', '2', 'edit_school', '2025-09-05 20:47:27'
'528', '1', 'create_assignment', '2025-09-13 14:14:15'
'529', '1', 'edit_assignment', '2025-09-13 14:14:15'
'530', '1', 'delete_assignment', '2025-09-13 14:14:15'
'531', '1', 'export_data', '2025-09-13 14:14:15'
'532', '1', 'manage_promotions', '2025-09-13 14:14:15'
'533', '2', 'create_assignment', '2025-09-13 14:14:15'
'534', '2', 'edit_assignment', '2025-09-13 14:14:15'
'535', '2', 'delete_assignment', '2025-09-13 14:14:15'
'536', '2', 'export_data', '2025-09-13 14:14:15'
'537', '2', 'manage_promotions', '2025-09-13 14:14:15'
'538', '3', 'create_assignment', '2025-09-13 14:14:15'
'539', '3', 'edit_assignment', '2025-09-13 14:14:15'
'540', '3', 'export_data', '2025-09-13 14:14:15'
